,Ad Set Name,Age,Gender,Reach,Frequency,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Link Clicks,CPC (Cost per Link Click) (USD),CTR (Link Click-Through Rate),"Cost per 1,000 People Reached (USD)",Website Registrations Completed,Website Leads,Post Shares,Post Comments,Post Reactions,Cost per Website Registration Completed (USD),Cost per Website Lead (USD)
22,4,25-34,female,12680,1.279101,406.1,16219,25.038535,128.0,3.172656,0.789198,32.026814,6.0,22.0,8.0,0.0,46.0,67.68333299999999,18.459091
23,4,35-44,unknown,272,1.3897059999999999,9.03,378,23.888889000000002,3.0,3.01,0.793651,33.198529,1.0,1.0,0.0,0.0,0.0,9.03,9.03
24,4,45-54,male,0,0.0,0.02,1,20.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
25,4,65+,female,0,0.0,0.0,1,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
26,4,65+,male,0,0.0,0.03,1,30.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
27,5,25-34,male,9236,1.193482,254.98,11023,23.131634,74.0,3.445676,0.671324,27.607189,4.0,9.0,12.0,3.0,37.0,63.745,28.331111
28,5,25-34,female,3796,1.0795569999999999,95.57,4098,23.321132000000002,18.0,5.309444,0.43923900000000005,25.176502,3.0,8.0,11.0,1.0,114.0,31.856666999999998,11.94625
29,5,35-44,unknown,144,1.263889,4.14,182,22.747253,0.0,,,28.75,0.0,0.0,0.0,0.0,1.0,,
30,5,35-44,male,4308,1.147864,91.8,4945,18.564206,12.0,7.65,0.242669,21.309192000000003,5.0,8.0,21.0,8.0,146.0,18.36,11.475
31,5,35-44,female,5436,1.103569,151.43,5999,25.242539999999998,35.0,4.3265709999999995,0.583431,27.85688,4.0,13.0,22.0,6.0,171.0,37.8575,11.648462
